tested_ids,most_possible_action,most_possible_action_cf,second_possible_action,second_possible_action_cf,third_possible_action,third_possible_action_cf,ground_truth_action
63,ActionGrab-chess_3,0.9,ActionEat-chess_3,0.5,ActionNodHead-agent_1,0.1,agent_2-actionrotateto-agent_1
64,ActionGrab-chess_3,0.9,ActionMoveTo-agent_1,0.5,ActionClose-chess_3,0.1,agent_2-actionspeak-hello!
65,ActionUnlock-chess_3-chess_3,0.9,ActionPlay-chess_3-agent_1,0.5,ActionPointTo-agent_1,0.1,agent_2-actionmoveto-chess_3
66,ActionPutOnto-chess_3-chess_3,0.9,ActionGiveTo-chess_3-agent_1,0.5,ActionEat-chess_3,0.1,agent_2-actionplay-chess_3
67,ActionShakeHead,0.9,ActionGrab-box_4,0.5,ActionPutOnto-box_4-banana_3,0.1,agent_1-actionspeak-hello!
68,ActionWait,0.9,ActionPutInto-box_4-banana_3,0.5,ActionWait,0.1,agent_1-actionrotateto-agent_2
69,ActionNodHead-agent_2,0.9,ActionFollowPointing-agent_2,0.5,ActionGrab-box_4,0.1,agent_1-actionpointto-banana_3
70,ActionPlay-box_4-agent_2,0.9,ActionNodHead-agent_2,0.5,ActionMoveToAttention-agent_2,0.1,agent_1-actionrotateto-banana_3
71,ActionPointTo-banana_3,0.9,ActionMoveTo-banana_3,0.5,ActionMoveToAttention-agent_2,0.1,agent_1-actionmoveto-banana_3
72,ActionObserveAgent-agent_2,0.9,ActionSmash-box_4,0.5,ActionGiveTo-banana_3-agent_2,0.1,agent_1-actionopen-box_4
73,ActionPutInto-box_4-key_3,0.9,ActionPointTo-box_6,0.5,ActionSmash-key_3,0.1,agent_2-actionwait
74,ActionEat-box_5,0.9,ActionObserveAgent-agent_1,0.5,ActionPointTo-key_3,0.1,agent_2-actionrotateto-agent_1
75,ActionShakeHead-agent_1,0.9,ActionClose-key_3,0.5,ActionPlay-box_5-agent_1,0.1,agent_2-actionmoveto-agent_1
76,ActionObserveAgent-agent_1,0.9,ActionClose-key_3,0.5,ActionMoveToAttention-agent_1,0.1,agent_2-actionspeak-hello!
77,ActionPointTo-box_6,0.9,ActionMoveToAttention-agent_1,0.5,ActionPutDown-box_6,0.1,agent_2-actionrotateto-box_6
78,ActionWait,0.9,ActionGiveTo-box_5-agent_1,0.5,ActionUnlock-box_5-box_4,0.1,"agent_2-actionrotateto-[-658.0, -392.0]"
79,ActionPlay-box_6-agent_1,0.9,ActionOpen-key_3,0.5,ActionOpen-box_6,0.1,agent_2-actionmoveto-box_6
80,ActionEat-key_3,0.9,ActionUnlock-box_4-box_4,0.5,ActionFollowPointing,0.1,agent_2-actionopen-box_4
81,ActionWaveHand,0.9,ActionShakeHead,0.5,ActionNodHead,0.1,agent_2-actiongrab-key_3
82,ActionShakeHead,0.9,ActionNodHead,0.5,ActionUnlock-box_4-key_3,0.1,agent_2-actionspeak-hello!
83,ActionPutDown-box_6,0.9,ActionPutInto-box_4-box_6,0.5,ActionMoveTo-key_3,0.1,"agent_2-actionmoveto-[532.0, -97.99999999999989]"
84,ActionObserveAgent-agent_1,0.9,ActionWait,0.5,ActionNodHead-agent_1,0.1,agent_2-actionmoveto-box_4
85,ActionSmash-key_3,0.9,ActionGiveTo-key_3-agent_1,0.5,ActionWait,0.1,agent_2-actionmoveto-box_4
86,ActionPutInto-box_4-box_6,0.9,ActionObserveAgent-agent_1,0.5,ActionWaveHand-agent_1,0.1,agent_2-actionmoveto-agent_1
87,ActionPutOnto-chess_5-chess_5,0.9,ActionOpen-chess_5,0.5,ActionPointTo-chess_5,0.1,agent_1-actionmoveto-chess_5
88,ActionOpen-cup_4,0.9,ActionObserveAgent-agent_2,0.5,ActionRotateTo-box_7,0.1,agent_1-actionmoveto-cup_4
89,ActionNodHead-agent_2,0.9,ActionWaveHand-agent_2,0.5,ActionGrab-cup_4,0.1,agent_1-actiongrab-cup_4
90,ActionPutOnto-box_7-box_7,0.9,ActionMoveTo-box_7,0.5,ActionNodHead-agent_2,0.1,agent_1-actionmoveto-table_3
91,ActionMoveTo-box_7,0.9,ActionPutInto-banana_6-chess_5,0.5,ActionPutOnto-box_7-banana_6,0.1,agent_1-actionputonto-cup_4
92,ActionWaveHand,0.9,ActionEat-table_7,0.5,ActionWaveHand,0.1,agent_2-actionpointto-shelf_4
93,ActionOpen-table_7,0.9,ActionPlay-box_5,0.5,ActionGiveTo-key_3,0.1,agent_2-actionrotateto-box_5
94,ActionMoveTo-shelf_4,0.9,ActionShakeHead-agent_1,0.5,ActionNodHead-agent_1,0.1,agent_2-actionmoveto-shelf_4
95,ActionFollowPointing-agent_1,0.9,ActionPointTo-shelf_4,0.5,ActionWait,0.1,agent_2-actionopen-shelf_4
96,ActionOpen-key_7,0.9,ActionObserveAgent-agent_2,0.5,ActionUnlock-key_8-shelf_4,0.1,agent_1-actionspeak-hello!
97,ActionGiveTo-key_8-agent_2,0.9,ActionGrab-key_3,0.5,ActionMoveTo-key_8,0.1,agent_1-actionpointto-box_6
98,ActionShakeHead-agent_2,0.9,ActionShakeHead-agent_2,0.5,ActionPutInto-key_8-shelf_4,0.1,agent_1-actionnodhead
99,ActionObserveAgent-agent_2,0.9,ActionEat-shelf_4,0.5,ActionFollowPointing-agent_2,0.1,agent_1-actionpointto-key_7
100,ActionPerform-drink,0.9,ActionGrab-key_8,0.5,ActionWaveHand-agent_2,0.1,agent_1-actionwait
101,ActionClose-key_3,0.9,ActionWaveHand-agent_2,0.5,ActionWait,0.1,agent_1-actionspeak-hello!
102,ActionRotateTo-agent_2,0.9,ActionShakeHead-agent_2,0.5,ActionNodHead-agent_2,0.1,agent_1-actionpointto-shelf_4
103,ActionFollowPointing-agent_2,0.9,ActionNodHead-agent_2,0.5,ActionNodHead-agent_2,0.1,agent_1-actionwavehand
104,ActionRotateTo-shelf_6,0.9,ActionPerform-eat,0.5,ActionNodHead,0.1,agent_1-actionpointto-books_3
105,ActionMoveToAttention-agent_2,0.9,ActionGrab-books_3,0.5,ActionClose-banana_9,0.1,agent_1-actionmoveto-books_3
106,ActionPutOnto-books_3-banana_9,0.9,ActionMoveTo-books_3,0.5,ActionPutDown-books_3,0.1,agent_1-actionspeak-hello!
107,ActionObserveAgent-agent_2,0.9,ActionPlay-books_3-agent_2,0.5,ActionSpeak-Thank you!,0.1,agent_1-actionpointto-books_3
108,ActionFollowPointing-agent_2,0.9,ActionSpeak-Thank you!,0.5,ActionOpen-box_3,0.1,agent_1-actionmoveto-box_3
109,ActionGiveTo-box_3-agent_2,0.9,ActionPutInto-box_3-box_3,0.5,ActionPutInto-box_3-box_3,0.1,"agent_1-actionmoveto-[-98.0, -196.0]"
110,ActionNodHead-agent_2,0.9,ActionGrab-box_3,0.5,ActionGrab-box_3,0.1,"agent_1-actionmoveto-[252.0000000000001, 322.0]"
111,ActionClose-key_4,0.9,ActionNodHead-agent_2,0.5,ActionPutOnto-key_4-key_4,0.1,"agent_1-actionmoveto-[322.0, 126.0]"
112,ActionPutDown-key_4,0.9,ActionShakeHead-agent_2,0.5,ActionPutInto-box_3-box_3,0.1,"agent_1-actionmoveto-[294.0, 154.0]"
113,ActionPlay-key_4-agent_2,0.9,ActionMoveToAttention-agent_2,0.5,ActionWait,0.1,agent_1-actionmoveto-key_4
114,ActionClose-key_3,0.9,ActionPutDown-key_3,0.5,ActionFollowPointing-agent_1,0.1,agent_2-actionmoveto-key_8
115,ActionPutInto-key_8-key_8,0.9,ActionSpeak-Hello!,0.5,ActionClose-key_8,0.1,agent_2-actiongrab-key_8
116,ActionWait,0.9,ActionPutOnto-key_8-key_8,0.5,ActionPerform-drink,0.1,agent_2-actionmoveto-box_7
117,ActionPlay-key_3-agent_1,0.9,ActionPutOnto-chess_6-key_8,0.5,ActionSpeak-Thank you!,0.1,agent_2-actionunlock-box_7
118,ActionObserveAgent-agent_1,0.9,ActionShakeHead-agent_1,0.5,ActionEat-key_8,0.1,agent_2-actionopen-box_7
119,ActionSmash-chess_6,0.9,ActionGiveTo-key_8-agent_1,0.5,ActionPutDown-box_7,0.1,agent_2-actiongrab-chess_6
120,ActionGrab-key_3,0.9,ActionClose-key_8,0.5,ActionSmash-key_3,0.1,agent_2-actionmovetoattention-agent_1
121,ActionNodHead,0.9,ActionPerform-eat,0.5,ActionGrab-chess_6,0.1,agent_2-actionopen-box_7
122,ActionPlay-dumbbell_3-agent_1,0.9,ActionSpeak-Thank you!,0.5,ActionClose-box_4,0.1,agent_2-actionmovetoattention-agent_1
123,ActionClose-dumbbell_3,0.9,ActionPerform-drink,0.5,ActionSmash-key_5,0.1,agent_2-actionmoveto-box_4
124,ActionPlay-cup_9-agent_1,0.9,ActionShakeHead-agent_1,0.5,ActionGiveTo-box_4-agent_1,0.1,agent_2-actionmoveto-key_5
125,ActionSmash-key_5,0.9,ActionClose-box_4,0.5,ActionGiveTo-key_5-agent_1,0.1,agent_2-actiongrab-key_5
126,ActionObserveAgent-agent_1,0.9,ActionPointTo-agent_1,0.5,ActionMoveToAttention-agent_1,0.1,agent_2-actionmoveto-box_4
127,ActionShakeHead-agent_1,0.9,ActionGrab-cup_9,0.5,ActionGrab-box_4,0.1,agent_2-actionunlock-box_4
128,ActionClose-chess_3,0.9,ActionObserveAgent-agent_2,0.5,ActionPerform-drink,0.1,"agent_1-actionrotateto-[-322.0, 546.0]"
129,ActionNodHead-agent_2,0.9,ActionObserveAgent-agent_2,0.5,ActionEat-chess_3,0.1,agent_1-actionmoveto-chess_3
130,ActionPointTo-agent_2,0.9,ActionOpen-chess_3,0.5,ActionNodHead-agent_2,0.1,agent_1-actiongrab-chess_3
131,ActionPerform-drink,0.9,ActionShakeHead-agent_2,0.5,ActionPointTo-agent_2,0.1,"agent_1-actionmoveto-[265.9999999999999, -70.00000000000011]"
132,ActionShakeHead-agent_2,0.9,ActionShakeHead-agent_2,0.5,ActionRotateTo-chess_3,0.1,agent_1-actionputdown-chess_3
133,ActionPutInto-chess_3-chess_3,0.9,ActionSpeak-Hello!,0.5,ActionPutOnto-chess_3-chess_3,0.1,agent_1-actionpointto-chess_3
134,ActionMoveToAttention-agent_1,0.9,ActionWaveHand-agent_1,0.5,ActionPutOnto-banana_7-dumbbell_6,0.1,agent_2-actionspeak-thank you!
135,ActionWaveHand-agent_1,0.9,ActionSmash-box_5,0.5,ActionEat-dumbbell_6,0.1,"agent_2-actionrotateto-[279.9999999999999, 182.0]"
136,ActionSpeak-Hello!,0.9,ActionGrab-banana_7,0.5,ActionMoveTo-shelf_4,0.1,agent_2-actionmoveto-shelf_4
137,ActionPutInto-box_5-banana_7,0.9,ActionMoveToAttention-agent_1,0.5,ActionSpeak-Hello!,0.1,agent_2-actionopen-shelf_4
138,ActionRotateTo-agent_1,0.9,ActionSmash-dumbbell_3,0.5,ActionWaveHand-agent_1,0.1,"agent_2-actionrotateto-[658.0, 112.0]"
139,ActionOpen-dumbbell_6,0.9,ActionGiveTo-banana_7-agent_1,0.5,ActionGiveTo-dumbbell_6-agent_1,0.1,agent_2-actionmovetoattention-agent_1
140,ActionObserveAgent-agent_1,0.9,ActionEat-dumbbell_3,0.5,ActionNodHead-agent_1,0.1,agent_2-actionpointto-shelf_4
141,ActionMoveToAttention-agent_1,0.9,ActionEat-box_5,0.5,ActionMoveToAttention-agent_1,0.1,agent_2-actionwait
142,ActionGrab-box_3,0.9,ActionPutInto-box_3-box_3,0.5,ActionEat-box_3,0.1,agent_2-actionpointto-key_4
143,ActionFollowPointing-agent_1,0.9,ActionPerform-drink,0.5,ActionMoveTo-box_3,0.1,"agent_2-actionrotateto-[448.0, -70.00000000000011]"
144,ActionMoveTo-agent_1,0.9,ActionPlay-box_3-agent_1,0.5,ActionOpen-box_3,0.1,agent_2-actionrotateto-agent_1
145,ActionPerform-drink,0.9,ActionSmash-key_4,0.5,ActionPointTo-agent_1,0.1,agent_2-actionrotateto-agent_1
146,ActionMoveTo-box_3,0.9,ActionFollowPointing-agent_1,0.5,ActionRotateTo-key_4,0.1,"agent_2-actionmoveto-[-364.0, -490.0]"
147,ActionObserveAgent-agent_1,0.9,ActionEat-box_3,0.5,ActionWait,0.1,"agent_2-actionrotateto-[-322.0, -322.0]"
148,ActionOpen-key_4,0.9,ActionNodHead-agent_1,0.5,ActionMoveTo-agent_1,0.1,agent_2-actionrotateto-agent_1
149,ActionGiveTo-box_4-agent_2,0.9,ActionOpen-box_6,0.5,ActionObserveAgent-agent_2,0.1,agent_1-actionspeak-thank you!
150,ActionObserveAgent-agent_2,0.9,ActionGiveTo-key_3-agent_2,0.5,ActionFollowPointing-agent_2,0.1,agent_1-actionspeak-thank you!
151,ActionPutOnto-box_4-box_4,0.9,ActionGiveTo-key_3-agent_2,0.5,ActionPerform-drink,0.1,agent_1-actionmovetoattention-agent_2
152,ActionPutOnto-key_3-box_6,0.9,ActionPerform-eat,0.5,ActionFollowPointing-agent_2,0.1,agent_1-actionmoveto-key_3
153,ActionNodHead-agent_2,0.9,ActionGrab-key_3,0.5,ActionGrab-box_6,0.1,agent_1-actiongrab-key_3
154,ActionMoveTo-agent_2,0.9,ActionObserveAgent-agent_2,0.5,ActionMoveTo-chess_3,0.1,agent_1-actionmoveto-agent_2
155,ActionWait,0.9,ActionRotateTo-agent_2,0.5,ActionGrab-chess_3,0.1,agent_1-actionmoveto-chess_3
156,ActionObserveAgent-agent_2,0.9,ActionGrab-chess_3,0.5,ActionClose-chess_3,0.1,agent_1-actiongrab-chess_3
157,ActionPlay-chess_3-agent_2,0.9,ActionGiveTo-chess_3-agent_2,0.5,ActionGrab-chess_3,0.1,"agent_1-actionmoveto-[378.0, 98.0]"
158,ActionMoveTo-agent_2,0.9,ActionPerform-drink,0.5,ActionGiveTo-chess_3-agent_2,0.1,agent_1-actionspeak-hello!
159,ActionObserveAgent-agent_2,0.9,ActionClose-chess_3,0.5,ActionPointTo-chess_3,0.1,agent_1-actionmoveto-agent_2
160,ActionWait,0.9,ActionEat-chess_3,0.5,ActionNodHead-agent_2,0.1,"agent_1-actionmoveto-[546.0, -168.0]"
161,ActionObserveAgent-agent_1,0.9,ActionOpen-banana_6,0.5,ActionPointTo-agent_1,0.1,agent_2-actionpointto-dumbbell_3
162,ActionPutOnto-box_7-banana_6,0.9,ActionEat-banana_6,0.5,ActionPointTo-key_5,0.1,agent_2-actionmoveto-key_5
163,ActionFollowPointing-agent_1,0.9,ActionPointTo-agent_1,0.5,ActionPutDown-key_5,0.1,agent_2-actionopen-box_7
164,ActionGiveTo-key_5-agent_1,0.9,ActionPutOnto-key_5-banana_6,0.5,ActionOpen-key_5,0.1,agent_2-actiongrab-key_5
165,ActionWaveHand-agent_1,0.9,ActionPutInto-box_4-key_5,0.5,ActionPutOnto-key_5-key_5,0.1,agent_2-actionrotateto-agent_1
166,ActionPlay-box_4-agent_1,0.9,ActionMoveToAttention-agent_1,0.5,ActionPlay-box_4-agent_1,0.1,agent_2-actionmoveto-banana_6
167,ActionPutOnto-key_5-key_5,0.9,ActionPlay-key_5-agent_1,0.5,ActionPutDown-box_4,0.1,agent_2-actionmoveto-box_4
168,ActionOpen-box_6,0.9,ActionOpen-box_6,0.5,ActionGrab-box_6,0.1,agent_1-actionmoveto-box_6
169,ActionGrab-box_4,0.9,ActionPlay-box_6-agent_2,0.5,ActionPutDown-box_4,0.1,agent_1-actionopen-box_6
170,ActionMoveToAttention-agent_2,0.9,ActionPointTo-box_6,0.5,ActionOpen-box_5,0.1,agent_1-actionmoveto-box_4
171,ActionWaveHand-agent_2,0.9,ActionMoveToAttention-agent_2,0.5,ActionClose-box_5,0.1,agent_1-actionopen-box_4
172,ActionUnlock-box_4-box_4,0.9,ActionPutInto-box_4-box_4,0.5,ActionClose-box_4,0.1,agent_1-actiongrab-key_3
173,ActionSpeak-Hello!,0.9,ActionPutInto-chess_3-chess_3,0.5,ActionFollowPointing-agent_2,0.1,agent_1-actionpointto-chess_3
174,ActionMoveTo-chess_3,0.9,ActionMoveToAttention-agent_2,0.5,ActionClose-chess_3,0.1,agent_1-actionmoveto-chess_3
175,ActionShakeHead-agent_2,0.9,ActionClose-chess_3,0.5,ActionMoveToAttention-agent_2,0.1,agent_1-actionplay-chess_3
176,ActionShakeHead-agent_2,0.9,ActionWaveHand-agent_2,0.5,ActionSpeak-Hello!,0.1,agent_1-actionspeak-hello!
177,ActionMoveTo-agent_2,0.9,ActionMoveToAttention-agent_2,0.5,ActionOpen-shelf_5,0.1,agent_1-actionpointto-chess_3
178,ActionPerform-eat,0.9,ActionPointTo-chess_3,0.5,ActionWait,0.1,agent_1-actionpointto-box_4
179,ActionPutOnto-chess_3-shelf_5,0.9,ActionPlay-chess_3-agent_2,0.5,ActionClose-box_4,0.1,agent_1-actionmovetoattention-agent_2
180,ActionPlay-box_4-agent_2,0.9,ActionPutOnto-shelf_5-chess_3,0.5,ActionPointTo-chess_3,0.1,agent_1-actionpointto-box_4
181,ActionUnlock-shelf_5-chess_3,0.9,ActionWaveHand-agent_2,0.5,ActionOpen-chess_3,0.1,agent_1-actionmoveto-chess_3
182,ActionRotateTo-banana_6,0.9,ActionSpeak-Hello!,0.5,ActionGiveTo-box_5-agent_2,0.1,agent_1-actionspeak-thank you!
183,ActionEat-key_3,0.9,ActionUnlock-banana_6-banana_6,0.5,ActionUnlock-key_3-banana_6,0.1,agent_1-actionspeak-thank you!
184,ActionObserveAgent-agent_2,0.9,ActionEat-box_5,0.5,ActionPerform-drink,0.1,agent_1-actionspeak-thank you!
185,ActionMoveTo-agent_2,0.9,ActionMoveTo-banana_6,0.5,ActionObserveAgent-agent_2,0.1,agent_1-actionspeak-thank you!
186,ActionRotateTo-agent_2,0.9,ActionPerform-eat,0.5,ActionOpen-banana_6,0.1,agent_1-actionspeak-thank you!
187,ActionPutInto-box_5-key_3,0.9,ActionClose-box_5,0.5,ActionEat-box_5,0.1,agent_1-actionspeak-thank you!
188,ActionGrab-box_5,0.9,ActionGiveTo-banana_6-agent_2,0.5,ActionSpeak-Thank you!,0.1,agent_1-actionpointto-box_4
189,ActionWait,0.9,ActionSmash-chess_6,0.5,ActionRotateTo-shelf_4,0.1,agent_1-actionopen-shelf_4
190,ActionShakeHead,0.9,ActionSmash-chess_6,0.5,ActionSmash-books_3,0.1,agent_1-actiongrab-books_3
191,ActionPlay,0.9,ActionMoveToAttention,0.5,ActionFollowPointing,0.1,"agent_2-actionrotateto-[0.0, 364.0]"
192,ActionWait,0.9,ActionEat,0.5,ActionNodHead-agent_1,0.1,agent_2-actionmovetoattention-agent_1
193,ActionPlay-key_3-agent_1,0.9,ActionWaveHand-agent_1,0.5,ActionEat-box_4,0.1,agent_2-actionfollowpointing-agent_1
194,ActionRotateTo-key_3,0.9,ActionSmash-key_3,0.5,ActionPutDown-box_6,0.1,agent_2-actionmoveto-key_3
